ID,名字,稱號,稀有度,屬性,武器種類,國別,性別,年齡,HP(Max),攻撃力(Max),攻擊體數,攻撃段數,攻擊距離,攻撃間隔,移動速度,韌性,成長,DPS,DPS(Total),火補正,水補正,風補正,光補正,暗補正
51001,ヴィルベル,砲台上の酒豪,5,炎,銃弾,常夏の国,女,23,8535,10185,5,1,200,3.5,40,17,晩成,2910,14550,100,91,110,100,100
51002,シエラ,無秩序な真紅,5,炎,魔法,魔法の国,女,27,7446,11190,4,3,190,3.45,60,37,晩成,3243,12974,100,53,190,100,100
51003,プロメテンド,盟約の英霊,5,炎,斬撃,死者の国,不明,?,14345,9225,1,1,15,2.5,44,91,平均,3690,3690,100,77,130,100,100
51004,モルーシャ,灼熱の剣豪,5,炎,打撃,砂漠の国,男,16,12078,11835,1,1,30,2.4,57,71,晩成,4931,4931,100,67,150,100,100
51005,ブラッド,雪焦がす燈焔,5,炎,突撃,雪の国,男,23,11122,7604,3,1,45,2.58,55,66,早熟,2947,8842,100,67,150,100,100
51006,ローザ,聖誕の煌晄,5,炎,弓矢,植物の国,女,17,7545,15655,1,1,170,2.6,56,43,平均,6021,6021,100,63,160,100,100
51007,キクミコマチ,桜燃ゆ舞巫女,5,炎,回復,和の国,女,16,8210,13955,1,8,170,2.72,45,31,平均,5131,5131,150,100,100,100,100
51008,フラヴィア,賭遊戯の女帝,5,炎,銃弾,西部の国,女,26,6726,12861,2,3,160,2.55,54,40,晩成,5044,10087,100,71,140,100,100
51009,ユージア,優焔の煌宗,5,炎,斬撃,少数民族の国,男,23,11295,11960,1,3,22,2.28,68,58,平均,5246,5246,100,63,160,100,100
51010,キクミコマル,神路往く鬼灯,5,炎,魔法,和の国,男,19,6844,16069,1,6,175,2.56,46,39,平均,6277,6277,100,56,180,100,100
51011,メルセディア,慈悲たる焔鐘,5,炎,打撃,空の国,女,18,13284,8736,2,1,15,2.64,48,86,晩成,3309,6618,100,77,130,100,100
51012,オルコ,天降る焔の雨,5,炎,弓矢,死者の国,女,23,7337,11020,3,3,175,2.64,54,34,晩成,4174,12523,100,67,150,100,100
51013,トラスト,薫父の焔影,5,炎,銃弾,雪の国,男,37,6904,16069,1,4,170,2.58,48,50,平均,6228,6228,100,67,150,100,100
51014,とどめき,百々目の幽鬼,5,炎,斬撃,和の国,女,16,8623,13365,2,3,65,2.99,46,44,早熟,4470,8940,100,63,160,100,100
51015,マギナアリス,星想の紅旋角,5,炎,回復,空の国,女,11,7291,9121,3,3,180,2.55,45,30,晩成,3577,10731,150,100,100,100,100
51016,ボースハイト,艶美なる惑晶,5,炎,突撃,エレキの国,男,14,9941,9174,2,2,20,2.15,84,35,早熟,4267,8534,100,69,145,100,100
51017,フラールルゥ,誓約の焔円陣,5,炎,魔法,王国,女,21,5845,14413,2,5,170,2.89,52,36,早熟,4987,9974,100,58,175,100,100
51018,ジル,鐡に燈る息吹,5,炎,打撃,機械の国,女,17,7699,11020,3,1,135,2.9,55,45,晩成,3800,11400,100,61,165,100,100
51019,ジャルキィ,怠屈砕く激輪,5,炎,銃弾,雪の国,女,25,6932,14946,1,8,135,2.49,64,31,平均,6002,6002,100,80,125,100,100
51020,エントラ,酩酊なき酒宴,5,炎,魔法,少数民族の国,女,62,7796,15286,1,7,145,2.73,61,43,早熟,5599,5599,100,54,185,100,100
51021,プリテリオナ,究愛の覇拏嫁,5,炎,突撃,動物の国,女,17,9624,9942,3,3,75,2.64,64,41,晩成,3766,11298,100,61,165,100,100
51022,フロフィア,夢菓の綿飴姫,5,炎,弓矢,お菓子の国,女,8,6408,8678,5,1,180,3.01,58,31,早熟,2883,14415,100,67,150,100,100
51023,ファルゥン,咲き綻ぶ王花,5,炎,弓矢,少数民族の国,女,24,6857,10802,4,2,175,3.03,48,42,晩成,3565,14260,100,61,165,100,100
51024,タウタカ,恩寵受く額焔,5,炎,打撃,西部の国,男,16,13464,11169,1,2,15,2.69,50,86,晩成,4152,4152,100,63,160,100,100
51025,ラヴィエチル,揺らがぬ焔智,5,炎,回復,雪の国,男,60,7951,9826,2,4,135,2.59,46,61,平均,3794,7588,150,100,100,110,100
51026,ソリッソ,我他遇す喜楽,5,炎,魔法,魔法の国,女,27,6680,12150,3,2,165,3.09,62,30,早熟,3932,11796,100,67,150,100,100
51027,リトニエル,焔篇司る慈飛,5,炎,斬撃,空の国,女,17,8636,10081,3,1,125,2.71,53,42,平均,3720,11160,100,63,160,100,100
52001,リベルディ,魅する碧き翼,5,水,銃弾,常夏の国,女,27,6525,15717,1,4,165,2.34,55,41,晩成,6717,6717,140,100,71,100,100
52002,アナーヒト,博雅の吟遊神,5,水,回復,少数民族の国,女,23,6961,9722,2,1,175,2.2,46,40,早熟,4419,8838,100,150,100,100,100
52003,アルシオン,叡智の探求者,5,水,魔法,魔法の国,男,19,5880,13485,3,3,155,3.2,50,40,晩成,4214,12642,180,100,56,100,100
52004,カイザー,蓋世の豪傑,5,水,打撃,王国,男,32,13665,11274,1,1,30,2.7,52,79,晩成,4176,4176,150,100,67,100,100
52005,バルトロメイ,豪猛の恋斬刀,5,水,斬撃,雪の国,男,23,13242,11475,1,1,35,2.47,58,65,晩成,4646,4646,160,100,63,100,100
52006,サローディア,春を齎す者,5,水,魔法,妖精の国,女,10,5865,10360,5,1,170,3.58,58,32,平均,2894,14469,160,100,63,100,100
